distributor,innovation,kanata,perry,richardson,tomax
DIPUMA,1055.0,,,,
DIRECT N-PAKT LLC,,,45.0,,
"DIRECT N-PAKT, INC.",0.0,,,,
DISTINCTIVE IMAGE LLC,359.0,,,,
DISTINCTIVE MARKETING IDEAS INC,,,,0.0,
DISTINCTIVE MKTG IDEAS,,,,,992.59
DISTINCTIVE MKTNG. IDEAS,3146.0,,,,
DIVERSIFIED PROMOTIONS,,,3842.0,,0.0
DIVINE IMPRINTS,443.0,,,,
DK ADVERTISING,0.0,,,,
DLM BRANDED PROMOTIONS,1362.0,,,,
DLM BRANDED PROMOTIONS LLC,,,,0.0,
DNH PROMOTIONAL MARKETING,0.0,,,,
DO NOT USE - USE AT29OT TEJAS TOPPERS INC,,,,1780.13,
DOLPHIN GRAPHICS INC,,,140.0,,1181.0
DOMINION AD/JJ OF DALLAS,0.0,,,,
DOMINION FORMS INC,,,,1729.27,
"DOMINION FORMS, INC",189.0,,,,
DON SANDERS MARKETING,0.0,,,,
DONNA'S PRINTING,0.0,,,,
DOT-IT RESTAURANT FULFILLMENT,0.0,,,,
DOTS DESIGNS,,,,0.0,
DOUBLE H ENTERPRISES,0.0,,,,
DOUBLE H ENTERPRISES INC,,,,0.0,
DP PROMOTIONAL PRODUCTS,0.0,,,,
"DPS PRINT, INC",744.0,,,,
DPS PRINTING SERVICES INC,0.0,,,,
DREAM MASTERS,7828.0,,,,
DREAM WORK PROMOTIONS,0.0,,,,
DRS GRAPHICS & PRINTING,,,,686.87,
DRYB INTERNATIONAL INC,,,0.0,,
DUFFELBAGS.COM,0.0,,,,
DYNAMIC BRANDING,0.0,,,,
DYNAMIC DESIGNS,1706.0,,,3069.6,
"DYNAMO TANK, INC.",1079.0,,,,
Davis & Stanton,,1973.1,,,
DeLane's Ad Specialties,,,,1404.06,
Dei Rossi Embroidery (P),,2758.14,,,
Distinctive Marketing Ideas (P),,0.0,,,
E PLUS PROMOTIONS,217.0,,,,
"E.L. PROMOTIONS, LLC",0.0,,,,
E2 SPECIALTY,392.0,,,,
EAGLE EMBROIDERY,,,,414.79,
ECOIMPRINT LLC,700.0,,,,
ECOMARKETING SOLUTIONS,5211.0,,,,6050.88
ECOMPANYSTORE INC,,,3650.0,,
EDWARD BAUMANN CLOTHIERS,,,1120.0,,
EGREENFEES INC,,,0.0,,
"EGREENFEES, INC",0.0,,,,
EIGHT EIGHT EIGHT INC,,,283.0,,
ELITE OUTSOURCING SOLUTIONS INC,,,0.0,,
ELITE PPROMOTIONAL PRINTING,,,,,292.0
ELITE PRINT WORKS,0.0,,,,
ELITE PRINTING,386.0,,,0.0,
ELITE PRINTING SOURCE,650.0,,,,
ELITE PROMOTIONAL PRINTING INC,,,136.0,,
ELITE PROMOTIONS,0.0,,,,
"ELJAY PRINT SYSTEMS, INC.",0.0,,,,
EMBELLISH ATHLETICS,0.0,,,,
EMBROID ME SUGAR LAND,,,,0.0,
EMBROIDEME-SUNSET,0.0,,,,
EMBROIDERED SOLUTIONS,0.0,,,,
EMBROIDERY INK LLC,,,40.0,,
EMBROIDERYCO.COM,0.0,,,,
EMBROIDME,0.0,,,,
EMBROIDME - CARROLLTON,183.0,,,,
EMBROIDME - KINGSVILLE,646.0,,,,
EMBROIDME - WEBSTER,169.0,,,,
EMBROIDME DALLAS METRO,0.0,,,,
EMBROIDME OF BROWNSVILLE,171.0,,,,1028.45
EMPIRE CREATIVE MARKETING,1020.0,,,,
ENDLESS BUSINESS SOLUTIONS,0.0,,,,
EPIC PROMOTIONS,202.0,,,,1236.5
EPIC PROMOTIONS INC,,,3123.0,7315.95,
ER. PROMOTIONS INC.,636.0,,,,
ESD ADVERTISING & COMMUNICATIO,362.0,,,,
ESKIMO JOE'S,568.0,,,,
ESKIMO JOE'S PROMO PRODUCTS,,,,,1459.6
ESKIMO JOE'S PROMO PRODUCTS GROUP INC,,,2864.0,,
ESKIMO JOES PROMOTIONAL PRODUCTS GROUP,,,,1322.05,
ESP-BIZ,226.0,,,,
"ETC GROUP, INC.",,,,,359.0
EVERCOM PRINTING AD SPECIALTIE,0.0,,,,
EVERY BRAND APPAREL INC,,,2891.0,2840.27,
"EXALT PRINTING SOLUTIONS, LLC",0.0,,,,
EXCEL SCREEN PRINTING,,,,622.56,
"EXCITE PROMOS, INC.",874.0,,,,
EXCLUSIVE PARTNERS,0.0,,,,
EXECUTIVE AWARDS,0.0,,,,
EXECUTIVE PROMOTIONAL PRODUCTS,549.0,,,,
EXTRAORDINARY PROMOTIONS LLC,,,18.0,,
Edward Baumann Clothiers,,1884.53,,,
Epic Promotions Inc  (P),,18244.68,,,
Eskimo Joe's,,4353.36,,,
FASTSIGNS,0.0,,,,
FASTSIGNS OF LONGVIEW,376.0,,,,
FBS PRINTING,6021.0,,,,
FEARLESS OUTDOORS,0.0,,,,
FIDELITY PRESS AND GRAPHICS,193.0,,,,
FINE DESIGNS IMPRINTED SPORTSWEAR INC,,,,0.0,
FINE INCENTIVES,0.0,,,,
FINELINE SPORTSWEAR,163.0,,,,
FINELINE SPORTSWEAR INC,,,,2654.04,
FIRST IMPRESSIONS OF HOUSTON INC,,,0.0,,
"FIRST IMPRESSIONS, INC.",567.0,,,,
FIRST KLASS PROMOTIONS,0.0,,,,
FISH GEAR APPAREL INC,,,0.0,,
FLAGSHIP PROMOTIONAL SERVICES,0.0,,,0.0,
FLAT RATE PRINTING & PROMOTIONS,,,,,2018.0
FLYING ACE DESIGNS,0.0,,,,
FONTIS BUSINESS SOLUTIONS,,,,,9764.76
FONTIS SOLUTIONS,,,8236.0,,
FORMATIONS PRINTING SERVICES,1555.0,,,,
FORT WORTH PROMO PRODUCTS,,,,402.68,
FORZA PROMO,0.0,,,,
FOUR SEASONS EMBROIDERY INC,,,,0.0,
"FOUR SEASONS EMBROIDERY, INC",0.0,,,,
FRANCES AND COMPANY,167.0,,,,
FRONTEND SOLUTIONS,,,,21.05,
FRONTERA PRINTING & MARKETING,0.0,,,,
FROSCH REWARDS & INCENTIVES,673.0,,,,
FUJA MARKETING,0.0,,,,
"FUNDRAISERS, ETC. INC",101.0,,,,
FUSION PERFORMANCE MARKETING,0.0,,,,
FW PROMO,569.0,,,,
G FINE LOGO,493.0,,,,
G FINELOGO.COM,,,,,96.8
G ROPER INC,,,114.0,,
GABINO ADVERTISING SPECIALTY,0.0,,,,
GAMBLER SPECIALTIES,0.0,,,,
GANDY INK,132.0,,,,
GARDNER PRINTING & AD SPEC.,0.0,,,,
GARDNER RESOURCES,647.0,,,,
GARMENTS TO GO,,,2436.0,,
GARMENTS TO GO INC,,,,1479.3,
"GARMENTS TO GO, INC",400.0,,,,
GARY RUGOFF SALES,,,312.0,,
GATEWAY PRINTING & OFFICE SUPP,757.0,,,,
GC EMBROIDERY & PROMOTIONAL,166.0,,,,
GCI PROMOTIONS INC.,0.0,,,,
GEAR UP PROMOTIONS,0.0,,,,
GEIGER BROS,,,0.0,,
GEIGER BROS.,,,,,3898.08
GENERATION FOUR,0.0,,,,
GENESCO SPORTS ENTERPRISES,3070.0,,,,
GENESCO SPORTS ENTERPRISES INC,,,4014.0,,
GENTRY SPECIALTY ADVERTISING**,533.0,,,,
GENTRYS,,,,3409.9,
GEORGE ANDRIE & ASSOCIATES,539.0,,,9137.41,
GERALD WILLIAM FINE LLC,,,45.0,,
GERARD BRADY,,,77.0,,
GERMAINE DESIGNS INC,,,,1245.93,
GERTNER CAVAZOS LLC,0.0,,,,
GES SPECIALTY ADVERTISING,0.0,,,,
GET NOTICED SOLUTIONS,,,,226.67,
GIGANTIC COLOR,0.0,,,,
GIZMO,0.0,,,,
GIZMO GROUP INC,,,,0.0,
GL GRAPHICS INC,,,,421.48,
GLADE GRAPHICS,1016.0,,,,
GLENN MOSS ADVERTISING,,,,0.0,
GLOBAL BUY INC,,,0.0,,
GLOBAL PRINT GROUP,523.0,,0.0,,
GLOBAL PRINTING SOLUTIONS,0.0,,,,
GLOBAL PROMOTIONAL SOURCING,,,0.0,,
GO DIRECT MAIL MARKETING,0.0,,,,
GO GO GOMEZ ENTERPRISE,0.0,,,,
GOLD BAR PROMOTIONS,0.0,,,,
GOLD STAR EMBROIDERY SCREEN,0.0,,,,
GOLD STAR GRAPHICS INC,,,9545.0,,
GOLDSTAR GRAPHICS INC,,,,20.22,
GOLF TOURNAMENT SHOP - AUS,416.0,,,,
GONZALEZ OFFICE PRODUCTS,1883.0,,,,
GONZO STRATEGIES,0.0,,,,
GOOD PROJECT,328.0,,,,
GORFAM MARKETING INC,,,5257.0,,
"GORFAM MARKETING, INC",1720.0,,,,
"GORFAM MARKETING, INC.",,,,,0.0
GORILLA MEDIA GROUP,249.0,,,,
"GORMAN FOY, INC.",612.0,,,,
GOSTEPHENS,2416.0,,,,
GRAFF-X MARKETING SPECIALTIES,0.0,,,,
GRAHAM DATA SUPPLIES INC,,,,678.31,
GRAHAM DATA SUPPLIES LTD,203.0,,,,
"GRAPHIC MEDIA GROUP, INC.",380.0,,,,
"GRAPHIC PRODUCTS, LP",0.0,,,,
GRAPHIC RESULTS,0.0,,,,
GRAPHIC SYSTEMS,,,,,918.0
GRAPHICS MASTER SCREEN,197.0,,,,
GRAPHICS NETWORK,0.0,,,,
GRAPHICS NETWORK INC,,,0.0,,
GRAPHICS RELATED SERVICES,,,0.0,,
GRAPHICS SYSTEMS,1230.0,,,,
GRAPHICS UNLIMITED,122.0,,,,
GRAPHICS UNLIMITED INC,,,,1582.05,
GRAPHITIKS ADVERTISING DESIGN,1469.0,,,,
GRAVES GROUP PROMOTIONS,,,,2736.89,0.0
GRAY WOLF PROMOTIONS INC.,700.0,,,,
GRAYCO,0.0,,,,
GREAT PLAINS GRAPHIC LLC,,,,1577.66,
GREAT PLAINS GRAPHICS OF SHAWN,193.0,,,,
GREEN APPAREL AND PRINTING 14,0.0,,,,
GREEN EAGLE GRAPHICS,0.0,,,,
GREENHOUSE CLOTHING LLC,0.0,,,,
GREENVILLE TROPHIES & AWARDS,0.0,,,,
"GULF BUSINESS FORMS SYSTEMS, I",261.0,,,,
GULF DATA PRODUCTS,261.0,,,,
GUNN PROMOTIONALS,1344.0,,,,
Geiger Bros. (P),,0.0,,,
Genesco Sports Enterprises (P),,519.88,,,
Graphics Network Inc,,1145.5,,,
Gray Wolf Promotions Inc,,,,1011.11,
H & J MARKETING LLC,,,824.0,,
H & R BLACK MFG CO LLC,,,,16731.37,
HAAS ASSOCIATES,,,356.0,0.0,
HALL MARKETING GROUP INC,,,,0.0,
"HALL MARKETING GROUP, INC.",649.0,,,,
HALO BRANDED SOLUTIONS,,,,,196972.45
HALO BRANDED SOLUTIONS INC,,,98593.0,,
HANCOCK ADVERTISING GROUP,342.0,,,134.22,
HARRY A PARRISH,,,0.0,,
HARRY A. PARRISH & ASSOC.,236.0,,,,
HARVEY ADVERTISING CO,,,9146.0,,
HARVEY-DACO,,,,,15062.71
HARVEY-DACO ----DO NOT USE,0.0,,,,
HARVEY-DACO HOME OFFICE,,,,4605.09,
"HARVEY-DACO, INC.",13832.0,,,,
"HBDGR ENTERPRISES, LLC",1984.0,,,,
HEALTH IMPRESSIONS,1180.0,,,,
HEART OF TEXAS ENTERPRISES,659.0,,,,
HEART OF TEXAS TS,,,,551.46,
HEAVEN SENT PROMOTIONS & APPAR,583.0,,,,
HEAVEN SENT PROMOTIONS & APPAREL,,,,0.0,
HELP IS ON THE WAY,798.0,,,,
HENDERHAN RECOGNITION & AWARDS,0.0,,,,
HENDRYX PRINTING BROKERAGE LLC,424.0,,,,
HERFF JONES,0.0,,,,
HERFF JONES/OVERALL RECOGNITIO,341.0,,,,
HERITAGE PRESS,3589.0,,,,
HF CUSTOM SOLUTIONS LLC,170.0,,352.0,,744.5
HI CORP,33172.0,,,3006.74,0.0
"HICKMAN ADVERTISING SPEC.,INC",0.0,,,,
HICORP,,,13442.0,,
HIGHTECH GRAFIX,,,88.0,,
HILL COUNTRY EMBROIDERY,,,,316.08,
HILL COUNTRY PROMOTIONAL PRODU,116.0,,,,
HILLER PRINTING INC.,229.0,,,,
HOLDEN CUSTOM PRODUCTS,1928.0,,,0.0,6942.64
HOLDER AND SMITH INC,0.0,,,,
HOLE IN THE ROOF,376.0,,,,
HOLLEY ADVERTISING SPECIALTIES,299.0,,,,
HOLLYWORKS,,,,,226.0
HOMER MILLER CO,,,14207.0,,
HOMER MILLER CO.,0.0,,,,
HOMER MILLER COMPANY,,,,,1102.0
HOOKED ON EMBROIDERY,,,96.0,,
HOOPER PRINTING & AD SPECILTIE,0.0,,,,
HORIZON PROMOTIONS,,,,1265.7,
HOT LINK,0.0,,,,
HOULDEN ENTERPRISES,823.0,,,,
HOUSTON ADVANCE PACKAGING CO,,,,376.83,
HOUSTON EMBROIDERY WORKS,0.0,,,1292.25,
HOUSTON PROMOTIONS,567.0,,,,
HOWARD ENTERPRISES,,,39.0,,
"HOWARTH ENTERPRISES ,LLC",,,0.0,,
HOWELL & WINDHAM ADVERTISING,0.0,,0.0,384.74,1912.4
HUBERT RESOURCE MARKETING,0.0,,,,
Halo Branding (P),,40878.92,,,
"Harvey-Daco, Inc (P)",,1941.52,,,
Heritage Press,,3759.52,,,
Homer Miller Company,,1632.2,,,
I DO PROMOS,0.0,,,,
I LOGO 4 U,,,,948.57,
I PROMOTE YOU,318.0,,,,
I Promote U (P),,0.0,,,
I WANT PROMOS. COM,0.0,,,,
ICE BLUE,130.0,,,,
ICE BRO PROMOS,1037.0,,,,
ICHISPA LLC,680.0,,,,
ICOPY PRINT & OFFICE SUPPLY,682.0,,,,
"IDEA SOURCE, INC.",994.0,,,,
IDEAS 'N MOTION,336.0,,,,3065.57
IDEAS N MOTION,,,,2749.46,
IDENTITY MARKETING SOLUTIONS,0.0,,,,
IDRESOURCE MANAGEMENT,,,0.0,,
IGNITE IMAGING,0.0,,,0.0,
IMAGE IMPACT!,0.0,,,,
IMAGE IS EVERYTHING,,,,,1956.25
IMAGE IS EVERYTHING INC,,,,67.5,
IMAGE IS EVERYTHING INC.,0.0,,,,
IMAGE MAKER,165.0,,,,
IMAGE MART,0.0,,,,
IMAGE NATION PROMOTIONAL GROUP INC,,,1855.0,,
IMAGE PRO,194.0,,,,
IMAGE PROFILES INC,0.0,,,,
IMAGENATION,4986.0,,,,
IMAGES IN INK,236.0,,,,
IMAGIMAX,996.0,,,,
IMAGINATION SPECIALTIES INC,,,56.0,,
IMEDIA MARKETPLACE,,,,,814.0
IMPACT MARKETING,0.0,,,,
IMPACT PROMOTIONS,0.0,,,,
IMPRESS DESIGNS INC,,,,1019.05,
"IMPRESS DESIGNS, INC.",285.0,,,,
IMPRESS GRAPHICS,246.0,,,,
IMPRESSABLE PROMOTIONAL PRODUCTS,,,,19.75,
IMPRESSION EDGE,1851.0,,,,
IMPRESSIONS MARKETING,1276.0,,,,0.0
"IMPRESSIVE IDEAS, INC.",1203.0,,,,
IMPRINT LOGO APPAREL,1158.0,,,,
IMPRINT RESOURCES,4802.0,,,,637.5
IMPRINT.COM,1316.0,,,,
IMPRINTED PRODCUTS OF AUSTIN,1298.0,,,,
IN PURSUIT PROMOTIONS,0.0,,,,
IN SIGHT,,,,,0.0
"INCENTIVE AMERICA, INC.",1606.0,,,,
INCENTIVE BRANDS,709.0,,,,
INCENTIVEAMERICA INC,,,,,0.0
INFINITI MARKETING,449.0,,,,
INITIALLY YOURS INC,,,9935.0,,
"INITIALLY YOURS, INC.",1674.0,,,,
INK N STITCH,0.0,,,,
INKSPRESS URSELF!,0.0,,,,
INMAN PROMOTIOAL TEAM INC-Franklin,,,,0.0,
INMAN PROMOTIONAL TEAM,4923.0,,,,44033.5
INMAN PROMOTIONAL TEAM INC,,,10862.0,137.21,
INNER CHANGE CONSULTING GROUP,0.0,,,,
INNER WORKINGS,,,883.0,,
INNERWORKINGS,1473.0,,,,988.5
INNOVATIVE DESIGN,0.0,,,,
INNOVATIVE MGMT. SOLUTIONS,0.0,,,,
INNOVATIVE PROMOTIONS,164.0,,,,
"INNOVATIVE RESOURCES, LLC",182.0,,,,
INSIGHT INC.,,,,,0.0
"INSIGHT, LLC",0.0,,,,
INSIGNIA,330.0,,,,
INSIGNIA PROMOTIONS,0.0,,,,
INSPIRATION GRAPHICS,0.0,,,,
INSTITCHES INC,0.0,,,,
INTEGRATED DOCUMENT SOLUTIONS,0.0,,,,
INTEGRITY PROMOTIONAL SOLUTION,701.0,,,,
INTEGRITY PROMOTIONAL SOLUTIONS,,,209.0,,
INVEN,,,2000.0,,
INVEN PROMO,0.0,,,,
IPROMOTEU,,,3484.0,,
IPROMOTEU.COM,,,,,770.3
Image Print and Promo LLC,,5088.06,,,
Imagination Branding (P),,451.84,,,
Incentive Brands,,,,1292.01,
Inman Promotional Team (H),,5968.2,,,
J & B MARKETING SPECIALTIES,0.0,,,,
J BANNER AND CO,0.0,,,,
J CARTER LOGOWEAR,449.0,,,,
J HARDING & CO,,,,269.33,
"J KINDELL ENTERPRISES, LTD.",279.0,,,,
"J&B CORPORATE PROMOTIONS, INC.",2338.0,,,,
J&B MARKETING,0.0,,,,
J&H AD SOLUTIONS,0.0,,,,
J&N ENTERPRISES,0.0,,,,
J-MARK BUSINESS FORMS,2204.0,,,,
J. HARDING & CO.,1386.0,,,,
J. PAUL COMPANY,0.0,,,,
J.F. PARKER & SON,198.0,,,,
J.P.'S FUNDWEAR,404.0,,,,
JACK NADEL INTERNATIONAL,,,2965.0,,5065.0
JACK PROMOTIONAL MARKETING LLC,941.0,,,,
JACKIE FELLERS MKTG LTD,0.0,,,,
JAM INCENTIVE MARKETING,0.0,,,,
JAN HALL PROMOTIONS,156.0,,,,
JANICE L FURTICK,,,0.0,,
JB GRAPHICS,1149.0,,,,
JC GRAPHICS,828.0,,,,
JMA BUSINESS PRODUCTS INC,0.0,,,,
JOE KNOWS PROMOS,0.0,,,,
JONES PRESS,0.0,,,,
JOY PROMOTIONS,0.0,,,,
"JOYOUS STITCHES, ETC",160.0,,,,
JPS FUNDWEAR INC,,,,332.24,
JPS PRINTING,373.0,,,,
"JPT GRAPHICS, INC",2127.0,,,,
JUBILANT CARGO COMPANY,2532.0,,,,
JUMP DESIGN,1457.0,,,,
JUST IMAGINE,0.0,,,,
JW DROUIN & ASSOC,,,185.0,,
Jack Nadel Inc. (P),,3005.15,,,
K & K SPECIALTIES,373.0,,,,
K & L ADVERTISING SPECIALTIES,1538.0,,,,
K & O INTERNATIONAL GROUP,,,,253.96,
K & S SPORTSWEAR,0.0,,,,
K DOUBLE K ENTERPRISES INC,,,,427.0,
K.C. AD SPECIALTIES INC.,,,,,0.0
KAESER & BLAIR INC,,,450.0,,
KALLEN ENTERPRISES,0.0,,,,
"KASS MARKETING GROUP, LLC",256.0,,,,
KB COMPANY,952.0,,,,
KCP SUPPLIES INC.,454.0,,,,
KELLER TROPHY & AWARDS,604.0,,,,
KELLEY ADVERTISING,1000.0,,,,
KELLEY ADVERTISING CO,,,61.0,0.0,4007.3
KELLEY PROMOTIONS & PRINTING,0.0,,,,
KEVIN NIELSEN,,,0.0,,
KEVIN WRIGHT,,,0.0,,
KEY ELEMENT MEDIA,0.0,,,,
KINDLER GROUP,0.0,,,,
KINGWOOD PROMOTIONS,0.0,,,,
KIRKSEY'S SPRINT PRINTING,0.0,,,,
KISCO SPECIALTIES,0.0,,,,
KKS EMBROIDERY,,,,502.09,
KNOCK OUT SPECIALTIES INC,,,,0.0,
"KNOCK OUT SPECIALTIES, INC.",,,,,0.0
KNOCK-OUT SPEC,842.0,,,,
KONA PRINTING AND PROMOTIONS,628.0,,,,
KOZA'S INC.,0.0,,,,
KP GRAPHIC SOLUTIONS,0.0,,,,174.5
KRISTAS EMBROIDERY,,,,312.34,
KWIK KOPY,241.0,,,,
Kaeser & Blair Inc (P),,1796.27,,,
Knock-Out Specialties Inc  (P),,393.43,,,
L & R PROMOTIONS,,,0.0,,
L&R DIGITAL PRINT,0.0,,,,
LA ENTERPRISES,485.0,,,,
LABEL STABLE INC,,,,448.16,
"LABEL SYSTEMS MFG., INC",0.0,,,,
LAINE ADVERTISING COMPANY,0.0,,,,
LANGSTON CO INC,,,0.0,,
LAPGEVITY,,,,,0.0
"LAPGEVITY, INC.",17834.0,,,,
LASERPRO,0.0,,,,
LB MARKETING SOLUTIONS,0.0,,,,
LEAD CONCEPTS,1002.0,,,,
LEAISON RESOURCES,0.0,,,,
LEAP FROG PROMOTIONS,0.0,,,,
LEGACY SPORTS ACADEMY INC/,80.0,,,,
LEGEND MARKETING,,,,0.0,
LEGZA AWARDS AND TROPHIES,268.0,,,,
LEVEL CLOTHING LLC,0.0,,,,
LIL XTREME PRODUCTIONS,2326.0,,,,
LINCOLN PRESS,433.0,,,,
LINDSEY ADVERTISING COMPANY,0.0,,,,
LIVELY PRINTING & SIGNS,,,64.0,,
LJF,0.0,,,,
LOGO CITY TX,0.0,,,,
"LOGO PROMOTIONS, INC       OK",0.0,,,,
LOGO RESCUE,0.0,,,,0.0
LOGO-WEAR INC,,,156.0,,
LOGOLINK,0.0,,,,
LOGOMATIC,4948.0,,,,
LOGOS@WORK,1164.0,,,,4099.0
LOGOSTUFF,2597.0,,,,
LONE STAR PROMOTIONS,0.0,,,4247.01,
LONE STAR SPECIAL TEES,2160.0,,,,
LONE STAR SPECIAL TEES INC,,,,351.69,
LONE STAR T-SHIRTS,233.0,,,,
LONESTAR IMPRINTS,2980.0,,,,
LONESTAR PROMOTIONALS,241.0,,,,351.75
LONG DOG TRADING CO,0.0,,,,
LONGHORN PROMOTIONS,,,,1612.58,
LONGVIEW EMBROIDERY,198.0,,,,
LORENTE LLC,0.0,,,,
LORI EATON,104.0,,1191.0,,
LOYDS EMBROIDERY & SCREENPRIN,,,,0.0,
LT PROMOTIONAL PRODUCTS,,,612.0,,
LYNNE MALKOFF PROMOTION INC.,640.0,,,,
LYNNE MALKOFF PROMOTIONS,,,0.0,,
LoveThoseShirts.Com,392.0,,,,
M & S CORPORATE OUTFITTERS,1396.0,,,,
M&B COLLECTIONS,585.0,,,,
M&S CORPORATE OUTFIT-DONT USE-,706.0,,,,
M2W INC.,529.0,,,,
M3 PROMOTIONS,223.0,,,,
MACCO PROMOTIONS INC,,,341.0,9150.74,
MADWOMEN - PROMOTIONAL MARKETI,340.0,,,,
MAGIC PROMOTIONS,0.0,,,,
MAGNOLIA APPAREL & PROMOTIONS,317.0,,,,
MAGOO'S PRINTSHOP,391.0,,,,
MAK 8,,,16473.0,,
MARILYN SMITH,,,1500.0,,
MARJAC CREATIONS,508.0,,,,
MARK IT,329.0,,,,
MARK IT PROMOTIONS,,,,124.39,
"MARKETING CANDY, A ROSE GRP CO",21571.0,,,,
MARLIN CUSTOM EMBROIDERY,,,,,221.0
MARQUIS COMMUNICATIONS,0.0,,,,
MARSHALL PROMOTIONALS,,,6674.0,,
MARTIN BUSINESS PRODUCTS,589.0,,,,
MARY LYNCH ADVERTISING,0.0,,,,
"MARZUM, LLC",0.0,,,,
MASTERCRAFT PRINTED PRODUCTS,2305.0,,,,
MATERIAL GIRLS,,,,4574.94,
MAVICH BRANDING,,,,,488.0
MAVICH BRANDING GROUP,1580.0,,0.0,,
MAXIM INCENTIVES,193.0,,,,
MAXIM INCENTIVES LLC,,,2.0,5542.86,
MAXIMUM EXPOSURE PRINTING & PR,280.0,,,,
MAXMARK,0.0,,,,
"MCW AND ASSOCIATES, INC",0.0,,,,
MD SHELL MARKETING,,,,144.75,
MDC PRINTING,0.0,,,,
MDL PROMOTIONS,0.0,,,,
MEDICAL PARKWAY PRINTING INC,0.0,,,,
MEEK'S LITHOGRAPHING CO.,,,,,1034.0
MEEKS GROUP,,,14235.0,0.0,
MEIAH PROMOTIONS,0.0,,,,
MELISSA JORDAN,,,1020.0,,
MERCH HAUS,,,,1093.14,
MERCH MEDIA,535.0,,,,
METAL FAB TROPHY & SCREEN PRIN,376.0,,,,
METROMARKETING MARKETING,,,,,0.0
METROMARKETING SERVICES INC,,,0.0,,
MEYER DUNLAP LLC,1189.0,,,2328.81,
MEYER DUNLAP LLC.,,,,,3353.0
MEYER FRUGE GROUP,,,0.0,,
MICHAEL LEE ADVERTISING,0.0,,,,
MILLENNIUM BUSINESS FORMS,1299.0,,,,
MILLER/GOLD PRINTING COMPANY,700.0,,,,
MINDS EYE,321.0,,,,
MINUTEMAN PRESS,1255.0,,,,
MINUTEMAN PRESS - BAY AREA,0.0,,,,
MINUTEMAN PRESS - NORTHWEST,0.0,,,,
MINUTEMAN PRESS -OKLAHOMA CITY,593.0,,,,
MINUTEMAN PRESS GRAPEVINE,0.0,,,,
MINUTEMAN PRESS MCKINNEY,0.0,,,,
MINUTEMAN PRESS OF HUMBLE,199.0,,,,
MISFIT DESIGN GROUP,0.0,,,,
MITCHELL MARKETING,0.0,,,,
MIXED MEDIA CREATIONS,163.0,,,,
MKT CORPORATE PROMOTIONS,967.0,,4049.0,,598.2
MKT Promotions,,,,0.0,
MMP TEXOMA,193.0,,,,
MODERN PRINT SHOP INC.,,,,,742.8
MOISANT & CO.   MCI,134.0,,,,
MOISANT & COMPANY INC,,,35.0,,
MOISANT & COMPANY INCORPORATED,,,,,2912.6
MONARCH TROPHY STUDIO,2897.0,,,,
MONOGRAMS & MORE,598.0,,,,
"MORGAN BUSINESS SOLUTIONS, INC",0.0,,,,
MPRESSA,9489.0,,,,
MPRESSA PROMOTIONAL SOLUTIONS,,,,78.41,
MPRINTED.COM,0.0,,,,
MR. INCENTIVES,136.0,,,,
"MTC, INC.",0.0,,,,
MTM RECOGNITION,,,,,0.0
MTM RECOGNITION CORPORATION,923.0,,,,
MUDD PRINT PROMO,0.0,,,,
MULHOLLAND CUSTOM IMPRINTS,0.0,,,,
"MUSE SOLUTIONS, LLC",232.0,,,,
MUSTANG APPAREL,,,176.0,,
MVP PROMOTIONS INC,,,,0.0,
MY CORPORATE STORE LLC,,,,802.61,
MY LUXURY GIFTS,,,1324.0,,
MY TEE ENTERPRISES,,,,355.01,
MYBRANDPROMO INC.,,,,,1517.04
MYIPGI.COM,,,,268.61,
Marketing Candy,,7310.89,,,
Marlin Custom Embroidery,,,,4363.24,
"McDOWELL INCENTIVES, INC.",54.0,,,,
McGREW MARKETING RESOURCES INC,,,301.0,,
Meyer Dunlap LLC,,6183.29,,,
Moisant Promotional Products,,1322.24,,,
N A CONSULTING CO.,247.0,,,,
NANCY ASHER,,,0.0,,
NATIONAL EMBROIDERS LLC,,,,731.28,
NATIONAL PROMOTIONAL ADVERTISING CORP,,,6229.0,,
NATIONWIDE ADV. SPECIALTY,550.0,,,,
NATIONWIDE ADVERTISING SPECIALTY CO,,,,523.21,
NCOA MARKETING COMPANY,148.0,,,,
NECESSITIES & MORE,0.0,,,,
NEEDLE LITTLE HELP,952.0,,,,
NEIL PROMOTIONAL PRODUCTS,1127.0,,,,
NETWORK INTERSTATE,,,,,0.0
NETWORK INTERSTATE CO,,,7548.0,,
NETWORK-INTERSTATE CO,,,,3212.75,
NETWORK-INTERSTATE CO.,5708.0,,,,
NEW WAY PRINTING,0.0,,,,
NEWMAN GROUP,0.0,,,,
NEWTON MANUFACTURING COMPANY,,,4108.0,,
NEXEMO,296.0,,,,
NEXT DAY SIGNS,0.0,,,,
NINE18 PRINTING SOLUTIONS,0.0,,,,
"NJ GRAPHIC DESIGN, INC",2848.0,,,,
NOLANS PROMOTIONAL PRODUCTS,1661.0,,,,
"NORTH STAR MKTG, GRP.",0.0,,,,
NOTABLE NOTIONS PROMOTIONS,189.0,,,,
NW DIGITAL WORKS,639.0,,3923.0,,
NW DIGITAL WORKS LLC,,,,162.73,
Network Interstate (P),,1068.71,,,
Neumanns Custom Leather & Embroidery,,,,280.41,
OFFICE DEPOT TRADE PAYABLES,6936.0,,,,
