Company Name,State,JAN - DEC 2014,JAN - DEC 2013,DEC 2014,DEC 2013,JAN - DEC 2013,Email
BLUE MOOSE TEES,TX,$0,"$1,320",$0,$0,"$1,320",MSELESKA@BLUEMOOSETEES.COM
BLUE RIBBON PROM DBA/CALFEE,TX,"$1,243",$951,$0,$0,$951,ACCOUNTING@CALFEESPECIALTIES.COM
BLUE STAR GRAPHICS & DESIGNS,TX,"$3,157","$2,191",$0,$0,"$2,191",cconway@bluestargraphic.com
BN PROMOS,TX,$0,$572,$0,$0,$572,info@bnpromos.com
BOB LILLY PROFESSIONA (TX),TX,"$1,093","$7,666",$792,$0,"$7,666",ap@boblillypromo.com
BOBITT ADVERTISING,TX,$0,$149,$0,$0,$149,bobittsadv@att.net
BONEHEAD GRAPHICS,TX,$0,$0,$0,$0,$0,SALES@BONEHEADGRAPHICS.COM
BORAL BRANDERS LLC,TX,$827,$0,$0,$0,$0,BBINFO@BORALBRANDERS.COM; ACCOUNTING@BORALBRANDERS.COM
BOSS & HUGHES,TX,"$2,242",$0,$0,$0,$0,accounting@bosshughes.com
BOUNDLESS NETWORK,TX,"$81,909","$60,530","$3,832","$6,220","$60,530",accountspayable@boundlessnetwork.com; support@boundlessnetwork.com;
BRADY HULL & ASSOCIATES,TX,$0,$0,$0,$0,$0,LATISA@BRADYHULL.COM
BRAGG RESOURCES,TX,$853,"$1,126",$0,$0,"$1,126",jbragg753@gmail.com
BRAND BUILDERS COMPANY,TX,$604,$328,$396,$0,$328,david@brandbuildersmail.com
BRAND IQ,TX,"$6,047","$3,150",$0,$0,"$3,150",ACCOUNTING@BRANDIQINC.COM
BRAND IT BANDITS,TX,$0,$0,$0,$0,$0,JENNIFER@BRANDITBANDITS.COM
BRAND IT PROM..,TX,$0,$0,$0,$0,$0,
BRAND MANAGEMENT PROFESSIONALS,TX,"$5,092","$3,935",$238,$327,"$3,935",ap@bmpdirect.com
BRAND THE WORLD,TX,$0,$0,$0,$0,$0,sales@brandtheworld.com
BRANDED T'S,TX,$0,$0,$0,$0,$0,angela_medellin79@yahoo.com
"BRANDING BOX CREATIVE, LLC",TX,$0,$0,$0,$0,$0,kelley@brandingboxcreative.com
BRANDING RESOURCES,TX,"$2,039","$1,007",$0,$221,"$1,007",ACCOUNTING@BRANDING-RESOURCES.COM;melisa@branding-resources.com
BRANDING WORKS LTD,TX,$231,$0,$0,$0,$0,laurie@brandingworksltd.com
BRANDING YOUR BIZ,TX,$0,$257,$0,$0,$257,sales@brandingyourbiz.net
BRAVO ADVERTISING,TX,$203,$226,$0,$0,$226,mireya.p@bravoad.com
BREAKTHRU PROMOTIONAL SOLUTION,TX,$212,$367,$0,$0,$367,TDODGE@BREAKTHRUPROMO.COM
BRIGHT SIDE PRINT & PROMOTIONS,TX,$237,$0,$0,$0,$0,marytopham@brightsideprint.com
BRONS & COMAPANY,TX,$148,$0,$148,$0,$0,BRONSANDCO@AOL.COM
BROWN & BIGELOW DALLAS,TX,$191,$0,$0,$0,$0,HLOPER@BROWNANDBIGELOW.COM
BROWN AND PARTNERS,TX,"$5,050",$0,$0,$0,$0,bnunes@artizenstudios.com
BROWN SPECIALTIES,TX,$0,$0,$0,$0,$0,barbpromosales@aol.com
BRYANT INNOVATIONS,TX,$0,$758,$0,$0,$758,SBRYANT@BRYANTPROMOS.COM
"BTH SALES & MARKETING, INC",TX,$0,$0,$0,$0,$0,brian@bthsales.com
BUFFALO SPECIALTIES INC.,TX,"$5,872","$7,382",$0,$0,"$7,382",billing@buffspec.com
BULLPEN MARKETING,TX,$327,$0,$0,$0,$0,sheri.deloney@bullenmarketing.com;accounting@bullpenmarketing.com
BULLSHIRTS,TX,"$1,450",$0,$0,$0,$0,luzvindah@bull-shirts.com
"BURNS GRAPHICS, INC.",TX,$494,$0,$0,$0,$0,accounting@burnsgraphics.com
BURRELL PROMOTIONS,TX,$326,"$1,290",$0,$0,"$1,290",laura@burrellprinting.com
BUSINESS ACCENTS,TX,$0,$0,$0,$0,$0,art@businessaccents.com
"BUSINESS SPIRIT, INC.",TX,$690,$218,$690,$0,$218,susan@businessspirit.net
C & B PRINTING,TX,$0,$0,$0,$0,$0,SHRESE@CANDBPRINTING.COM
C&E SPECIALTIES,TX,$0,$481,$0,$0,$481,callcespec@aol.com
"C. H. HARDEN, JR. ENTERPRISES",TX,"$1,960","$1,227",$0,$213,"$1,227",chharden@sbcglobal.net
CADENA SPECIALTY ADVERTISING,TX,$199,$0,$0,$0,$0,cadenaspecialty@yahoo.com
CALENDARIOS LANDIN,TX,$0,$917,$0,$0,$917,BRENDA@CALENDARIOSLANDIN.COM
"CALJOY CONCEPTS, INC.",TX,"$1,026",$0,$0,$0,$0,CAL@CALINTERNATIONAL.COM
CAMDON GRAPHICS,TX,"$1,053","$1,433",$0,$0,"$1,433",marta@camdongraphics.com
CANYON PRODUCTS INCORPORATED,TX,$309,$0,$0,$0,$0,canyonproducts@midplains.coop
CAP INC,TX,"$1,118",$0,$0,$0,$0,CAPINCMEL@GMAIL.COM
"CAPRICE PRODUCTION, INC",TX,$730,$242,$0,$0,$242,pat@capriceproductions.com
CARROLL PRINTING & PROMOS,TX,$605,$0,$0,$0,$0,Rholt@rhbookkeeping.com;debdavis@carrollprinting.com
CASH ADVERTISING CO.,TX,$0,"$1,528",$0,$0,"$1,528",l.taylor@cashadvertising.com
CATALYST MARKETING,TX,$0,$0,$0,$0,$0,stephaniej@catmarketing.com
CBI-ROBCO PROMOTIONAL,TX,$0,$0,$0,$0,$0,ROB@CBI-PROMO.COM
CC CREATIONS,TX,$184,$994,$0,$0,$994,s.villalta@cccreationsusa.com
CENTEX RECOGNITION,TX,"$1,646",$635,$0,$635,$635,shannonh@ctrecognition.com
CENTRAL BUSINESS MARKETING,TX,$259,$0,$0,$0,$0,sales@centralbusiness.com
"CENTURY GRAPHICS AND SIGN, INC",TX,"$1,633",$558,$515,$0,$558,promotional@centurygs.com
CFJ MANUFACTURING,TX,"$10,736","$5,311",$895,"$1,487","$5,311",accounts.payable@cfjmfg.com;pmiller@cfjmfg.com
CHAMPION PROMOTIONS & PRINTING,TX,$0,$693,$0,$0,$693,gilmorep@swbell.net
CHANGO PROMOTIONAL PRODUCTS,TX,$0,$0,$0,$0,$0,RUDY@CHANGOPROMOS.COM
CHAPPELL OFFICE PRODUCTS,TX,$359,$0,$0,$0,$0,cops@sbcglobal.net
CHARCO,TX,$230,$0,$230,$0,$0,bwaller@gocharco.com
"CHASE MARKETING ASSOCIATES,INC",TX,"$2,613",$0,$856,$0,$0,ChaseMark@aol.com
CHILLUS PROMO APPAREL,TX,"$1,076","$3,771",$0,$0,"$3,771",chillus@chillus.us
CLA PRINTING PLUS,TX,$253,$0,$0,$0,$0,cla383@aol.com
"CLASSIC FORMS AND PRODUCTS, IN",TX,$645,"$2,275",$0,$0,"$2,275",deena@classfp.com
CLASSY PROMO,TX,"$4,350","$1,856",$0,$0,"$1,856",sales@classypromo.com
"COLLIER-HICKMAN, INC",TX,$212,$0,$0,$0,$0,Bill@whatapromo.com
COLOR VISUAL CONCEPTS INC,TX,$0,$0,$0,$0,$0,amy@qualityprintingcheap.com
COMMERCIAL PRINT SOLUTIONS,TX,"$1,345",$0,$0,$0,$0,WILSON@COMMPRINTSOLUTIONS.COM
COMPASS PROMOTIONAL PRODUCTS,TX,$0,$175,$0,$0,$175,jack@ledgersheet.net
COOK ADVERTISING SPECIALTIES,TX,$397,$0,$0,$0,$0,payables@cookadv.com
COOL GLOW,TX,$259,$0,$0,$0,$0,ace@coolglow.com
COOL STUFF,TX,$675,$0,$0,$0,$0,susan@coolstuffdallas.com
COOL THREADS,TX,$348,$816,$0,$179,$816,coolthreads@airmail.net
COOPER STEPP & ASSOCIATES,TX,$383,$454,$0,$0,$454,SARAH@COOPERSTEPP.COM
CORE MEDIA,TX,$330,$0,$0,$0,$0,RICK@COREMEDIAWORLD.COM
CORNERSTONE MEDIA,TX,$194,$0,$0,$0,$0,keith@cornerstoneadgroup.com
CORPORATE IDENTITY,TX,$0,$0,$0,$0,$0,
"CORPORATE INCENTIVES, INC",TX,"$1,113",$288,$0,$0,$288,patrick@corporate-incentives.com
"CORPORATE INCENTIVES, INC",TX,"$2,420",$333,$589,$65,$333,INVOICES@CORP-INC.COM
CORPORATE SPECIALTY PRODUCTS,TX,$0,$867,$0,$0,$867,SEROTH1@GTE.NET
CORPORATE WEAR USA,TX,"$2,504","$1,342",$0,$0,"$1,342",heather@corporatewearusa.com
COS-ROBCO PROMOTIONAL,TX,"$1,263",$0,$0,$0,$0,rob@cbi-promo.com
COTTON CARGO,TX,$927,$0,$0,$0,$0,KALAN@COTTENCARGO.COM
COULDN'T LOOK BETTER/CLB,TX,"$2,715",$439,$0,$0,$439,amberc@couldntlookbetter.com
COWGIRL SPECIALTIES & PROMOTIO,TX,$327,$368,$0,$201,$368,RACHEL@COWGIRLPROMOS.COM
CREATIVE AWARDS & TROPHIES,TX,$0,$409,$0,$0,$409,ACCT@CREATIVEAWARD.COM
CREATIVE AWARDS SERVICE/AWARDS,TX,$0,$0,$0,$0,$0,
CREATIVE DESIGN MARKETING,TX,$220,$0,$0,$0,$0,DEBBIE@CDMKTG.COM
CREATIVE EXPRESSIONS UNLIMITED,TX,"$2,141","$7,099",$0,$0,"$7,099",CEU@IX.NETCOM.COM
CREATIVE GRAPHIC SOLUTIONS,TX,"$1,376","$1,000",$0,$0,"$1,000",JEANNE@CGSPAGE.COM
CREATIVE IMAGE ADVERTISING,TX,"$4,156","$5,586","$1,091","$1,316","$5,586",LISA_CREATIVEIMAGE@EARTHLINK.NET
CREATIVE SPECIALTIES,TX,"$2,119",$0,$0,$0,$0,karen.creativespecialties@gmail.com
CREATIVE STITCHES,TX,$232,"$3,461",$0,$0,"$3,461",sophia@applausepromo.com
CREATIVEANDFAST BIZ,TX,$176,$248,$0,$0,$248,jim@creativeandfast.biz
CREDIT UNION MARKETING,TX,$507,$0,$0,$0,$0,candy@creditunionmarketing.com
CROWN TROPHY,TX,$192,$0,$0,$0,$0,crown_trophy@verizon.net
CT PROMOTIONAL PRODUCTS,TX,$188,$0,$0,$0,$0,ctpromotional@gmail.com
CTL MARKETING,TX,$0,$0,$0,$0,$0,cleonard@ctlmarketing.com
CURVES FOR WOMEN II LC IN,TX,$0,$0,$0,$0,$0,accountspayable@curves.com
"CUSTOM CONCEPTS, INC",TX,$0,$0,$0,$0,$0,info@ccipromo.com
CUSTOM IMPRINT AMERICA,TX,"$1,137",$595,$804,$0,$595,CIA@CUSTOMIMPRINTAMERICA.COM
CUSTOM T'S,TX,$0,$0,$0,$0,$0,MISTY@CUSTOMT-S.COM
CUTTING EDGE ADVERTISING,TX,"$2,526","$1,730",$260,$599,"$1,730",FRONT@CUTTINGEDGEAD.COM
D & J ADVERTISING ASSOCIATES,TX,$0,$988,$0,$609,$988,dpopnoe@yahoo.com
D&L PLASTIC SCREENING,TX,$170,$0,$0,$0,$0,dlplastic@pathwayz.com
DAOS BUSINESS SERVICES,TX,$967,$0,$0,$0,$0,ocruz@daosbiz.com
"DATA BUSINESS FORMS, INC.",TX,"$1,467",$171,$0,$0,$171,CAROL@DATATPS.COM
DAVID'S APPAREL,TX,$782,$0,$0,$0,$0,texasrp@aol.com
DAVIS & STANTON,TX,"$6,775",$445,$0,$0,$445,CHARLEE@DAVSTAN.COM; mpaus@davstan.com
DBS MARKETING PROMOTIONS LLC,TX,$0,$110,$0,$0,$110,sme@dbcpromotions.com
DEBBIE BERGEN,TX,$282,"$1,907",$0,$0,"$1,907",debbiepro@aol.com
DECKER SPECIALTY ADVERTISING,TX,$666,$713,$0,$0,$713,mark@deckerspecialty.com
DEI ROSSI MARKETING,TX,"$9,221","$9,283","$1,368","$3,706","$9,283",bina@deirossi.com
DELANE'S AD SPECIALTIES,TX,$113,"$1,537",$0,$0,"$1,537",rhunter@delanes.com
DELIKATE PRINTS,TX,"$2,480",$0,$184,$0,$0,delikateprints@hotmail.com
DENTON DEPOT,TX,"$8,507","$10,363",$0,$485,"$10,363",info@dentondepot.com
DES FINANCIAL SERVICES,TX,$0,$874,$0,$0,$874,angela.fitch@printadd.com
DESIGN CENTER SIGNS,TX,$303,$433,$0,$0,$433,orders@designcentersigns.com
DESIGN WAREHOUSE,TX,$337,$0,$151,$0,$0,ABERGER@DWTEXAS.COM
DESIGNS IN THREADS,TX,"$7,020","$3,125","$2,299",$0,"$3,125",purchasing@designs-in-thread.com
DETAIL PRODUCTS,TX,$875,"$2,562",$0,$0,"$2,562",ldupaquier@detail-products.com
DFW PROMO,TX,$100,$0,$0,$0,$0,sales@dfwpromo.com
DH PROMOTIONAL PRODUCTS,TX,$335,$0,$0,$0,$0,terry.robinson@dhpromotional.com
DIAMONDBACK PRINTING &PROMO,TX,$556,$498,$0,$0,$498,LONGHORN78.ST@GMAIL.COM
DIFFERENT DRUMMER PROMTIONS,TX,$463,$0,$0,$0,$0,RON@DIFFERENTDRUMMERPROMOTIONS.COM
DIGI-COLOR,TX,"$6,171",$0,$0,$0,$0,CMARTIN@DIGI-COLOR.COM;ap@digi-color.com
"DIGITAL CORPORATE CO., INC.",TX,$354,$160,$0,$0,$160,sandy@digitalpub.biz
DIGITOUCH MEDIA,TX,$585,$0,$0,$0,$0,payables@digitouchmedia.com
DINOSAUR PLASTICS,TX,"$1,078",$544,$0,$0,$544,info@dinosaurplastics.com
DIPUMA,TX,"$1,055",$239,$0,$0,$239,info@dipuma.com
DISTINCTIVE IMAGE LLC,TX,$359,$0,$0,$0,$0,steve.benson@distinctiveimagellc.com
DISTINCTIVE MKTNG. IDEAS,TX,"$3,146","$3,767",$236,$228,"$3,767",ACCOUNTING@DMIPROMOTIONS.COM
DIVINE IMPRINTS,TX,$443,$0,$0,$0,$0,ADAMD@DIVINEIMPRINTS.COM
DK ADVERTISING,TX,$0,$0,$0,$0,$0,
DLM BRANDED PROMOTIONS,TX,"$1,362",$0,$0,$0,$0,dmcbee@dlmbrandedpromos.com
DNH PROMOTIONAL MARKETING,TX,$0,$267,$0,$0,$267,SALES@DNHPROMOS.COM
DOMINION AD/JJ OF DALLAS,TX,$0,$399,$0,$0,$399,ACCOUNTING@JJOFDALLAS.COM
"DOMINION FORMS, INC",TX,$189,$0,$0,$0,$0,
DON SANDERS MARKETING,TX,$0,$24,$0,$0,$24,susan@donsandersmarketing.com
DP PROMOTIONAL PRODUCTS,TX,$0,$0,$0,$0,$0,
"DPS PRINT, INC",TX,$744,$0,$0,$0,$0,Larry@dps-print.com
DREAM MASTERS,TX,"$7,828","$5,459",$0,$213,"$5,459",georgee@dreammastersusa.com
DREAM WORK PROMOTIONS,TX,$0,$483,$0,$0,$483,KEITH@DREAMWORKPROMOTIONS.COM
DUFFELBAGS.COM,TX,$0,$75,$0,$0,$75,info@duffelbags.com
DYNAMIC DESIGNS,TX,"$1,706",$0,$0,$0,$0,bills@dynamicdesignsinc.com
"DYNAMO TANK, INC.",TX,"$1,079",$0,$0,$0,$0,BRIAN@DYNAMOTANK.COM
E PLUS PROMOTIONS,TX,$217,$182,$0,$0,$182,barbyw@aol.com
"E.L. PROMOTIONS, LLC",TX,$0,$464,$0,$0,$464,MORGAN@ELPROMO.NET
E2 SPECIALTY,TX,$392,$247,$0,$0,$247,STATEMENTS@OFFICEEFFECTS.COM
ECOIMPRINT LLC,TX,$700,$911,$0,$0,$911,SALES@ECOIMPRINT.COM
ECOMARKETING SOLUTIONS,TX,"$5,211",$841,$0,$0,$841,rbpill2@gmail.com
"EGREENFEES, INC",TX,$0,$269,$0,$0,$269,CUSTOMER.SERVICE@IMPACTLOGOPRODUCTS.COM
ELITE PRINT WORKS,TX,$0,$290,$0,$0,$290,mgm@eliteprintworks.com
ELITE PRINTING,TX,$386,$0,$0,$0,$0,penny@eliteprtg.com
ELITE PRINTING SOURCE,TX,$650,$0,$0,$0,$0,ELITEPRINTINGSOURCE@YAHOO.COM
ELITE PROMOTIONS,TX,$0,$321,$0,$321,$321,daisy@elite4promo.com
EMBELLISH ATHLETICS,TX,$0,$50,$0,$0,$50,ASHLEY@EMBELLISHATHLETICS.COM
EMBROIDERED SOLUTIONS,TX,$0,$248,$0,$0,$248,EMBSOL@SBCGLOBAL.NET
EMBROIDERYCO.COM,TX,$0,$0,$0,$0,$0,AMY@EMBROIDERYCO.COM
EMBROIDME - CARROLLTON,TX,$183,$0,$0,$0,$0,metrocrest@embroidme.com; emecfb@gmail.com
EMBROIDME - KINGSVILLE,TX,$646,$0,$0,$0,$0,kingsville@embroidme.com
EMBROIDME - WEBSTER,TX,$169,$0,$0,$0,$0,info@embroidme-webster.com
EMBROIDME DALLAS METRO,TX,$0,$0,$0,$0,$0,dallasmetro@embroidme.com
EMBROIDME OF BROWNSVILLE,TX,$171,$0,$0,$0,$0,pds@embroidme-sanpedro.com
EMPIRE CREATIVE MARKETING,TX,"$1,020","$1,054",$0,$0,"$1,054",teri@empiread.com
ENDLESS BUSINESS SOLUTIONS,TX,$0,$0,$0,$0,$0,
EPIC PROMOTIONS,TX,$202,"$2,626",$0,$0,"$2,626",elysia@epicpromotions.com
ER. PROMOTIONS INC.,TX,$636,$0,$0,$0,$0,elaine@erpromotions.com
ESD ADVERTISING & COMMUNICATIO,TX,$362,$0,$0,$0,$0,johanna@esdandassociates.com
ESP-BIZ,TX,$226,$0,$226,$0,$0,rdifloria@espbiz.com
"EXALT PRINTING SOLUTIONS, LLC",TX,$0,$362,$0,$0,$362,LISA.RAY@EXALTPRINTING.COM
EXCLUSIVE PARTNERS,TX,$0,$187,$0,$0,$187,amirk@exprinters.com
EXECUTIVE AWARDS,TX,$0,$0,$0,$0,$0,executiveawards@att.net
EXECUTIVE PROMOTIONAL PRODUCTS,TX,$549,$0,$0,$0,$0,suhpaul@hotmail.com
FASTSIGNS,TX,$0,$0,$0,$0,$0,courtney.savage@fastsigns.com
FASTSIGNS OF LONGVIEW,TX,$376,$0,$0,$0,$0,fastsigns.379@fastsigns.com
FBS PRINTING,TX,"$6,021","$7,815",$0,$0,"$7,815",INFO@FBSPRINT.COM
FIDELITY PRESS AND GRAPHICS,TX,$193,$0,$0,$0,$0,jimellison@fidelitypress.net
FINE INCENTIVES,TX,$0,$0,$0,$0,$0,
FINELINE SPORTSWEAR,TX,$163,$0,$0,$0,$0,scott@finelinesportswear.com
"FIRST IMPRESSIONS, INC.",TX,$567,$0,$0,$0,$0,LSAMUELS@1STIMPRESSIONSINC.COM
FIRST KLASS PROMOTIONS,TX,$0,$226,$0,$0,$226,kyle@firstklasspromotions.com
FLAGSHIP PROMOTIONAL SERVICES,TX,$0,$0,$0,$0,$0,promovendors@flagshippromo.com
FLYING ACE DESIGNS,TX,$0,$0,$0,$0,$0,dave@flyingacedesigns.com
FORMATIONS PRINTING SERVICES,TX,"$1,555",$170,$0,$170,$170,caryn@formationsprinting.com
"FOUR SEASONS EMBROIDERY, INC",TX,$0,$0,$0,$0,$0,noram@satx.rr.com
FRANCES AND COMPANY,TX,$167,$598,$0,$0,$598,info@francesandcompany.com
FRONTERA PRINTING & MARKETING,TX,$0,$0,$0,$0,$0,fronteraprinting@hotmail.com
FROSCH REWARDS & INCENTIVES,TX,$673,$641,$0,$0,$641,melissa.adame@frosch.com
"FUNDRAISERS, ETC. INC",TX,$101,$0,$0,$0,$0,anna@fundraisersetc.com
FW PROMO,TX,$569,$193,$0,$0,$193,ACCOUNTING@FWPROMO.COM
G FINE LOGO,TX,$493,$515,$0,$0,$515,mfine@gfinelogo.com
GABINO ADVERTISING SPECIALTY,TX,$0,$0,$0,$0,$0,vickie@gabinoadvertising.com
GAMBLER SPECIALTIES,TX,$0,"$1,242",$0,$0,"$1,242",gamblerspecialties@yahoo.com
GANDY INK,TX,$132,$0,$0,$0,$0,ap@gandyink.com
GARDNER PRINTING & AD SPEC.,TX,$0,$317,$0,$0,$317,garprint@msn.com
GARDNER RESOURCES,TX,$647,"$2,682",$0,"$1,613","$2,682",colleen@gresources.com
"GARMENTS TO GO, INC",TX,$400,$0,$0,$0,$0,INFO@GARMENTSTOGO.COM
GATEWAY PRINTING & OFFICE SUPP,TX,$757,$0,$0,$0,$0,kelly@gatewayp.com
GC EMBROIDERY & PROMOTIONAL,TX,$166,$0,$0,$0,$0,sales@gcembroidery.com
GCI PROMOTIONS INC.,TX,$0,$0,$0,$0,$0,
GEAR UP PROMOTIONS,TX,$0,$300,$0,$0,$300,JB@GEARUPINC.COM
GENERATION FOUR,TX,$0,"$3,058",$0,$0,"$3,058",BRENDAH@GENERATION-FOUR.COM
GENESCO SPORTS ENTERPRISES,TX,"$3,070",$225,$235,$0,$225,dfew@genescosports.com
GENTRY SPECIALTY ADVERTISING**,TX,$533,$0,$0,$0,$0,gsarec@wf.net; gsadg@wf.net
GEORGE ANDRIE & ASSOCIATES,TX,$539,"$3,252",$0,"$1,625","$3,252",AP@GEORGEANDRIE.COM
GERTNER CAVAZOS LLC,TX,$0,$0,$0,$0,$0,
GES SPECIALTY ADVERTISING,TX,$0,$0,$0,$0,$0,tsmith119@verizon.net
GIZMO,TX,$0,$406,$0,$0,$406,1pound@gizmogroup.com
GLADE GRAPHICS,TX,"$1,016",$0,$0,$0,$0,ALICIA@GLADEGRAPHICS.NET
GLOBAL PRINT GROUP,TX,$523,$0,$0,$0,$0,globalprintgroup@sbcglobal.net
GOLD BAR PROMOTIONS,TX,$0,$473,$0,$0,$473,GOLDBARPROMOS@GMAIL.COM
GOLF TOURNAMENT SHOP - AUS,TX,$416,$165,$0,$0,$165,jancy@golfeventshop.com
GONZALEZ OFFICE PRODUCTS,TX,"$1,883","$1,778",$0,$0,"$1,778",ACCOUNTING@GONZALEZOP.COM
GOOD PROJECT,TX,$328,$0,$0,$0,$0,kim@goodproject.com
"GORMAN FOY, INC.",TX,$612,"$3,010",$0,$879,"$3,010",kerri.gorman@gormanfoy.com
GOSTEPHENS,TX,"$2,416",$0,$0,$0,$0,daniel@gostephens.com
GRAFF-X MARKETING SPECIALTIES,TX,$0,$0,$0,$0,$0,SALES@GRAFF-X.COM
GRAHAM DATA SUPPLIES LTD,TX,$203,$0,$0,$0,$0,squiroz@shopgds.com
"GRAPHIC MEDIA GROUP, INC.",TX,$380,"$2,306",$0,$0,"$2,306",support2@gmglink.com
"GRAPHIC PRODUCTS, LP",TX,$0,$0,$0,$0,$0,BRIAN@GPLP.NET
GRAPHICS MASTER SCREEN,TX,$197,$62,$0,$0,$62,msgleander@aol.com
GRAPHICS SYSTEMS,TX,"$1,230","$3,441",$0,$0,"$3,441",pbalacek@graphicssystems.com
GRAPHICS UNLIMITED,TX,$122,$0,$0,$0,$0,graphicsunlimited@pdq.net
GRAPHITIKS ADVERTISING DESIGN,TX,"$1,469",$586,$0,$0,$586,service@graphitiks.com
GRAY WOLF PROMOTIONS INC.,TX,$700,$173,$0,$0,$173,BUSINESS-OFFICE@GRAYWOLFPROMOTIONS.COM
GRAYCO,TX,$0,$0,$0,$0,$0,accounting@acusourcesolutions.net
GREEN EAGLE GRAPHICS,TX,$0,$0,$0,$0,$0,rmers@mac.com
GREENVILLE TROPHIES & AWARDS,TX,$0,$0,$0,$0,$0,GTS@GEUSNET.COM
"GULF BUSINESS FORMS SYSTEMS, I",TX,$261,$0,$0,$0,$0,ROSA@GULFBUSINESSPRINTING.COM
GULF DATA PRODUCTS,TX,$261,$0,$0,$0,$0,gulfdata2@sbcglobal.net
GUNN PROMOTIONALS,TX,"$1,344",$0,$0,$0,$0,tamara@gunnpromos.com
"HALL MARKETING GROUP, INC.",TX,$649,$0,$0,$0,$0,THALL@HALLMARKETING.COM
HANCOCK ADVERTISING GROUP,TX,$342,"$1,732",$0,$343,"$1,732",tkrisa@hancockgroup.net
HARRY A. PARRISH & ASSOC.,TX,$236,$221,$0,$0,$221,hparrish@windstream.net
HARVEY-DACO ----DO NOT USE,TX,$0,$0,$0,$0,$0,cgonzales@havey-daco.com
"HARVEY-DACO, INC.",TX,"$13,832","$9,430",$0,$224,"$9,430",MDUNCAN@HARVEY-DACO.COM
"HBDGR ENTERPRISES, LLC",TX,"$1,984","$2,065",$0,$966,"$2,065",accounting@hbdgr.com; rex.green@hbdgr.com
HEALTH IMPRESSIONS,TX,"$1,180",$225,$81,$0,$225,lisamulholland@wrsgroup.com
HEART OF TEXAS ENTERPRISES,TX,$659,$277,$0,$0,$277,corey@hotpromotionals.com
HEAVEN SENT PROMOTIONS & APPAR,TX,$583,$0,$0,$0,$0,susan@heavensentpromos.com
HELP IS ON THE WAY,TX,$798,$0,$0,$0,$0,hiotw1234@sbcglobal.net
HERFF JONES/OVERALL RECOGNITIO,TX,$341,$0,$0,$0,$0,nickm@texashj.com
HF CUSTOM SOLUTIONS LLC,TX,$170,$181,$0,$0,$181,orders@hfcustomsolutions.com; nita@hfcustomsolutions.com
HILL COUNTRY PROMOTIONAL PRODU,TX,$116,$0,$0,$0,$0,hillprom@satx.rr.com
HILLER PRINTING INC.,TX,$229,$0,$0,$0,$0,
HOLDEN CUSTOM PRODUCTS,TX,"$1,928","$13,766",$0,$0,"$13,766",shay@holdenbrand.com
HOLE IN THE ROOF,TX,$376,$231,$0,$0,$231,PROMO@HOLEINTHEROOF.COM
HOT LINK,TX,$0,$0,$0,$0,$0,cdallura@hotlink.com ( A/P CONTACT )
HOULDEN ENTERPRISES,TX,$823,$0,$0,$0,$0,ioshouston@yahoo.com
HOUSTON EMBROIDERY WORKS,TX,$0,$0,$0,$0,$0,ap@houstonew.com
HOUSTON PROMOTIONS,TX,$567,$0,$0,$0,$0,sherri@houston-promotions.com
HOWELL & WINDHAM ADVERTISING,TX,$0,"$3,475",$0,$0,"$3,475",HWAADZ@AOL.COM
HUBERT RESOURCE MARKETING,TX,$0,$0,$0,$0,$0,leann@hubertpromotions.com;k.hrm@suddenlinkmail.com
I DO PROMOS,TX,$0,$360,$0,$0,$360,roger@idopromos.com
I PROMOTE YOU,TX,$318,$164,$0,$0,$164,dawn@ipromoteyou.biz
ICE BLUE,TX,$130,"$1,011",$0,$0,"$1,011",sales@iceblueadv.com
ICE BRO PROMOS,TX,"$1,037",$0,$0,$0,$0,JAKE@ICEBROPROMOS.COM
ICHISPA LLC,TX,$680,$0,$0,$0,$0,mariel@ichispa.us
ICOPY PRINT & OFFICE SUPPLY,TX,$682,$0,$0,$0,$0,MADYSON@ICOPYTEXAS.COM
"IDEA SOURCE, INC.",TX,$994,$0,$0,$0,$0,MICHELLE@THEIDEASOURCE.COM
IDEAS 'N MOTION,TX,$336,$0,$0,$0,$0,JOAN@IDEASNMOTION.COM
IDENTITY MARKETING SOLUTIONS,TX,$0,$0,$0,$0,$0,
IGNITE IMAGING,TX,$0,$0,$0,$0,$0,kim@igniteimaging.com
IMAGE IMPACT!,TX,$0,$0,$0,$0,$0,robin@image-impact.net
IMAGE IS EVERYTHING INC.,TX,$0,$173,$0,$0,$173,gilda@imageiseverything.com
IMAGE MAKER,TX,$165,$0,$0,$0,$0,IMAGEMAKER@SIGN-WORKS.NET
IMAGE MART,TX,$0,$0,$0,$0,$0,DAVID@IMAGEMARTDALLAS.COM
IMAGE PRO,TX,$194,$338,$0,$0,$338,mail@imageprodallas.com
IMAGE PROFILES INC,TX,$0,$550,$0,$0,$550,EMAIL1@IMAGEPROFILES.COM
IMAGES IN INK,TX,$236,$0,$0,$0,$0,imagesinink@sbcglobal.net
IMAGIMAX,TX,$996,$0,$0,$0,$0,jayshri@imagimaxpromo.com
IMPACT MARKETING,TX,$0,$183,$0,$0,$183,impactcaps@aol.com
"IMPRESS DESIGNS, INC.",TX,$285,$200,$0,$0,$200,SHELLY@IMPRESSDESIGNS.COM
IMPRESS GRAPHICS,TX,$246,$0,$0,$0,$0,SKESSEL@IMPRESS-GRAPHICS.COM
